id,名称,别名(释名),气味,主治,附方,生长,考释
241,桑根白皮,,味甘寒,主治伤中五劳六极羸瘦，崩中脉绝，补虚益气。叶，除寒热，出汗。桑耳，黑者，主女子漏下，赤白汁，血病，癥瘕积聚腹痛，阴阳寒热，无子。五木耳，名薷（木旁），益气不饥，轻身强志,,,
242,松萝,女萝,味苦平,主治瞋怒邪气，止虚汗出，风头，女子阴寒肿痛,,山谷,
243,五加,豺漆,味辛温,主治心腹疝气，腹痛，益气，疗躄。小儿立能行，疽疮阴蚀,,,
244,猪苓,赮猪矢,味甘平,主治痎疟，解毒，蛊毒，蛊注，不祥，利水道。久服轻身耐老,,山谷,
245,白棘,棘鍼,味辛寒,主治心腹痛，痈肿溃脓止痛,,川谷,
246,卫矛,鬼箭,味苦寒无毒,主治女子崩中下血，腹满汗出，除邪，杀鬼毒蛊注,,,
247,黄环,陵泉/大就,味苦有毒,主治蛊毒鬼注鬼魅，邪气在藏中，除咳逆寒热,,山谷,
248,石南草,鬼目,味辛平,主养肾气，内伤阴衰，利筋骨皮毛。实，杀蛊毒，破积聚，逐风痹,,山谷,
249,巴豆,巴椒,味辛温有毒,主治伤寒温疟寒热，破癥瘕结聚坚积，留饮痰癖，大腹水脹，蕩滌五臟六腑，开通闭塞，利水谷道，去恶肉，除鬼毒蛊注邪物，杀虫鱼,,川谷,
250,蜀椒,,味辛温,主治邪气咳逆，温中，逐骨节皮肤死肌，寒湿痹痛，下气。久服之头不白，轻身增年,,川谷,
251,莽草,,味辛温,主治风头，痈肿乳痈，疝瘕，除结气，疥瘙疽疮。杀虫鱼,,山谷,
252,郁核,爵李,味酸平,主治大腹水肿，面目四肢浮肿，利小便水道。根，主治齿断肿，龋齿，坚齿。鼠李，主治寒热瘰疬疮,,川谷,
253,栾华,,味苦寒,主治目痛泪出伤眦，消目肿,,川谷,
254,蔓椒,豕椒,味苦温,主治风寒湿痹，历节痛，除四肢厥气，膝痛,,川谷,
255,雷丸,,味苦寒,主杀三虫，逐毒气，胃中热，利丈夫，不利女子。作摩膏，除小儿百病,,山谷,
